Year,Title,IMDb,RottenTomatoes,Service
2014,2 States,6.9,70,Netflix
2019,Grass is Greener,7.2,70,Netflix
2018,May the Devil Take You,6,70,Netflix
1999,Double Jeopardy,6.5,70,Netflix
2020,Ava,5.4,70,Netflix
2012,Barfi!,8.1,70,Netflix
2016,Barry,5.8,70,Netflix
2020,Go!,5.9,70,Netflix
2009,Everybody's Fine,7.1,70,Netflix
1982,Monty Python Live at the Hollywood Bowl,7.9,70,Netflix
2013,Parker,6.2,70,Netflix
1986,The Karate Kid Part II,6.1,70,Netflix
2019,System Crasher,7.8,70,Netflix
1992,Under Siege,6.5,70,Netflix
2017,Brain on Fire,6.6,70,Netflix
2013,The Butterfly's Dream,7.7,70,Netflix
2020,The Wrong Missy,5.7,70,Netflix
2011,Battle: Los Angeles,5.7,70,Netflix
2018,Pari,6.6,70,"Prime Video, Netflix"
2017,The Beguiled,6.3,70,Netflix
2016,Batman: The Killing Joke,6.4,70,Netflix
2008,Sex Drive,6.5,70,Netflix
2020,Mosul,7.2,70,Netflix
2018,Pokémon the Movie: The Power of Us,6.3,70,Netflix
2013,Underdogs,6.5,70,"Prime Video, Netflix"
1994,The Little Rascals,6.3,70,Netflix
2005,Fun with Dick and Jane,6.2,70,"Prime Video, Netflix"
2016,Ballerina,6.8,70,Netflix
2017,Hasan Minhaj: Homecoming King,8.3,70,Netflix
2019,An Easy Girl,5.6,70,Netflix
2014,Highway,7.6,70,"Prime Video, Netflix"
2017,The Book of Henry,6.6,70,Netflix
2018,Reversing Roe,7.5,70,Netflix
2018,The Clovehitch Killer,6.6,70,"Hulu, Netflix"
2019,There's Something in the Water,6.7,70,Netflix
1999,Stuart Little,5.9,70,Netflix
2016,Barakah Meets Barakah,6.3,70,Netflix
2004,Starsky & Hutch,6.1,70,Netflix
2016,Loving,7,70,Netflix
2014,Haider,8.1,70,Netflix
2010,The Twilight Saga: Eclipse,5,70,Netflix
2016,Triple 9,6.3,70,Netflix
2004,Spanglish,6.4,70,Netflix
2008,The Spiderwick Chronicles,6.5,70,Netflix
2012,Kahaani,8.1,69,Netflix
2018,Lady J,6.9,69,Netflix
2005,The Interpreter,6.4,69,Netflix
2019,"Frankenstein's Monster's Monster, Frankenstein",5.9,69,Netflix
2001,Not Another Teen Movie,5.7,69,"Prime Video, Netflix"
2018,The Cloverfield Paradox,5.5,69,Netflix
2020,Disclosure,8.2,69,Netflix
2015,Hot Girls Wanted,6.1,69,Netflix
2013,Dead Man Down,6.5,69,Netflix
2021,Fear Street: 1994,6.2,69,Netflix
2011,Kill the Irishman,7.1,69,Netflix
2018,Set It Up,6.5,69,Netflix
2009,Case 39,6.2,69,"Prime Video, Netflix"
2021,Outside the Wire,5.4,69,Netflix
2007,Steal a Pencil for Me,7.5,69,Netflix
2020,Project Power,6,69,Netflix
2018,High Strung Free Dance,6.9,69,Netflix
2011,The Twilight Saga: Breaking Dawn - Part 1,4.9,69,Netflix
2017,Marc Maron: Too Real,7.2,69,Netflix
2017,The Polka King,5.9,69,Netflix
2018,6 Balloons,5.9,69,Netflix
2016,Amanda Knox,6.9,69,Netflix
2018,At Eternity's Gate,6.9,69,Netflix
2018,Anon,6.1,69,Netflix
2014,3 Days to Kill,6.2,69,Netflix
2017,To the Bone,6.8,69,Netflix
2021,Trollhunters: Rise of the Titans,7,69,Netflix
2018,Mowgli: Legend of the Jungle,6.5,69,Netflix
2016,Mother's Day,5.7,69,"Prime Video, Netflix"
1995,Mortal Kombat,5.8,69,Netflix
2014,Creep,6.3,69,"Prime Video, Netflix"
